score,avg_reward_last5_episodes,steps
-20.0,-20.0,898
-21.0,-20.5,884
-21.0,-20.666666666666668,934
-21.0,-20.75,821
-21.0,-20.8,880
-20.0,-20.8,961
-21.0,-20.8,825
-21.0,-20.8,842
-20.0,-20.6,1009
-20.0,-20.4,1052
-21.0,-20.6,1050
-21.0,-20.6,880
-21.0,-20.6,871
-18.0,-20.2,1081
-20.0,-20.2,872
-20.0,-20.0,977
-19.0,-19.6,1038
-21.0,-19.6,852
-21.0,-20.2,932
-19.0,-20.0,1128
-21.0,-20.2,872
-21.0,-20.6,908
-21.0,-20.6,825
-20.0,-20.4,842
-20.0,-20.6,978
-21.0,-20.6,880
-20.0,-20.4,949
-20.0,-20.2,932
-20.0,-20.2,977
-20.0,-20.2,993
-20.0,-20.0,916
-21.0,-20.2,792
-21.0,-20.4,764
-21.0,-20.6,858
-19.0,-20.4,1072
-21.0,-20.6,825
-20.0,-20.4,920
-20.0,-20.2,930
-20.0,-20.0,1022
-21.0,-20.4,764
-19.0,-20.0,1021
-21.0,-20.2,854
-21.0,-20.4,854
-21.0,-20.6,764
-18.0,-20.0,1171
-21.0,-20.4,882
-21.0,-20.4,1010
-21.0,-20.4,872
-21.0,-20.4,782
-21.0,-21.0,783
-19.0,-20.6,1147
-19.0,-20.2,1153
-21.0,-20.2,960
-21.0,-20.2,993
-20.0,-20.0,842
-20.0,-20.2,1009
-21.0,-20.6,871
-20.0,-20.4,1046
-21.0,-20.4,910
-20.0,-20.4,861
-20.0,-20.4,870
-21.0,-20.4,826
-21.0,-20.6,912
-21.0,-20.6,820
-21.0,-20.8,1064
-21.0,-21.0,820
-21.0,-21.0,940
-21.0,-21.0,942
-21.0,-21.0,764
-20.0,-20.8,1039
-20.0,-20.6,977
-21.0,-20.6,852
-20.0,-20.4,982
-21.0,-20.4,945
-19.0,-20.2,998
-20.0,-20.2,843
-20.0,-20.0,962
-19.0,-19.8,1135
-20.0,-19.6,838
-21.0,-20.0,824
-19.0,-19.8,1043
-20.0,-19.8,963
-20.0,-20.0,930
-20.0,-20.0,902
-20.0,-19.8,919
-19.0,-19.8,1018
-20.0,-19.8,1192
-20.0,-19.8,843
-19.0,-19.6,1129
-21.0,-19.8,946
-21.0,-20.2,976
-21.0,-20.4,820
-20.0,-20.4,1132
-20.0,-20.6,1206
-21.0,-20.6,940
-20.0,-20.4,915
-20.0,-20.2,990
-21.0,-20.4,1040
-19.0,-20.2,1006
-20.0,-20.0,866
-21.0,-20.2,792
-20.0,-20.2,842
-19.0,-19.8,950
-21.0,-20.2,1032
-20.0,-20.2,977
-21.0,-20.2,844
-21.0,-20.4,927
-18.0,-20.2,1237
-21.0,-20.2,843
-21.0,-20.4,912
-20.0,-20.2,994
-20.0,-20.0,1013
-21.0,-20.6,872
-21.0,-20.6,1067
-19.0,-20.2,1037
-19.0,-20.0,1010
-21.0,-20.2,852
-21.0,-20.2,903
-21.0,-20.2,1001
-20.0,-20.4,884
-19.0,-20.4,1067
-20.0,-20.2,1081
-20.0,-20.0,1071
-21.0,-20.0,843
-20.0,-20.0,1078
-20.0,-20.2,907
-21.0,-20.4,884
-19.0,-20.2,994
-21.0,-20.2,1032
-21.0,-20.4,912
-21.0,-20.6,1028
-20.0,-20.4,842
-21.0,-20.8,824
-21.0,-20.8,1105
-20.0,-20.6,993
-21.0,-20.6,1239
-20.0,-20.6,1052
-19.0,-20.2,939
-19.0,-19.8,1459
-21.0,-20.0,958
-19.0,-19.6,938
-21.0,-19.8,1134
-21.0,-20.2,855
-20.0,-20.4,966
-20.0,-20.2,1100
-21.0,-20.6,852
-20.0,-20.4,878
-19.0,-20.0,1284
-20.0,-20.0,898
-19.0,-19.8,976
-20.0,-19.6,999
-20.0,-19.6,981
-16.0,-19.0,1435
-20.0,-19.0,1038
-19.0,-19.0,1091
-21.0,-19.2,964
-19.0,-19.0,1216
-21.0,-20.0,940
-20.0,-20.0,1380
-21.0,-20.4,1119
-21.0,-20.4,1302
-21.0,-20.8,991
-20.0,-20.6,1069
-15.0,-19.6,1562
-16.0,-18.6,1375
-18.0,-18.0,1138
-19.0,-17.6,1217
-20.0,-17.6,1217
-20.0,-18.6,1019
-19.0,-19.2,1144
-19.0,-19.4,1259
-18.0,-19.2,1225
-19.0,-19.0,1397
-17.0,-18.4,1292
-20.0,-18.6,1247
-21.0,-19.0,998
-20.0,-19.4,1330
-21.0,-19.8,970
-18.0,-20.0,1217
-21.0,-20.2,1109
-20.0,-20.0,1012
-20.0,-20.0,1369
-14.0,-18.6,1723
-17.0,-18.4,1544
-19.0,-18.0,1163
-19.0,-17.8,1400
-21.0,-18.0,928
-20.0,-19.2,1349
-18.0,-19.4,1401
-17.0,-19.0,1566
-18.0,-18.8,1208
-18.0,-18.2,1372
-16.0,-17.4,1614
-16.0,-17.0,1448
-20.0,-17.6,1306
-20.0,-18.0,1203
-17.0,-17.8,1581
-21.0,-18.8,1273
-16.0,-18.8,1955
-21.0,-19.0,1406
