score,avg_reward_last5_episodes,steps
-20.0,-20.0,992
-20.0,-20.0,870
-20.0,-20.0,964
-20.0,-20.0,1018
-19.0,-19.8,982
-21.0,-20.0,960
-21.0,-20.2,811
-21.0,-20.4,902
-21.0,-20.6,783
-20.0,-20.8,889
-21.0,-20.8,852
-20.0,-20.6,1020
-19.0,-20.2,1124
-21.0,-20.2,884
-20.0,-20.2,842
-21.0,-20.2,824
-20.0,-20.2,842
-20.0,-20.4,1020
-20.0,-20.2,930
-21.0,-20.4,852
-21.0,-20.4,813
-18.0,-20.0,1057
-21.0,-20.2,880
-19.0,-20.0,965
-19.0,-19.6,1036
-21.0,-19.6,884
-18.0,-19.6,1145
-21.0,-19.6,839
-19.0,-19.6,1028
-20.0,-19.8,968
-21.0,-19.8,764
-21.0,-20.4,852
-21.0,-20.4,793
-18.0,-20.2,1106
-21.0,-20.4,810
-20.0,-20.2,993
-19.0,-19.8,973
-20.0,-19.6,895
-21.0,-20.2,764
-21.0,-20.2,812
-20.0,-20.2,1087
-20.0,-20.4,930
-21.0,-20.6,903
-20.0,-20.4,997
-20.0,-20.2,887
-21.0,-20.4,904
-21.0,-20.6,792
-21.0,-20.6,931
-19.0,-20.4,972
-21.0,-20.6,901
-21.0,-20.6,946
-21.0,-20.6,792
-20.0,-20.4,983
-20.0,-20.6,958
-20.0,-20.4,899
-20.0,-20.2,1087
-21.0,-20.2,1000
-21.0,-20.4,824
-20.0,-20.4,949
-20.0,-20.4,1130
-20.0,-20.4,917
-21.0,-20.4,822
-21.0,-20.4,848
-20.0,-20.4,921
-20.0,-20.4,902
-21.0,-20.6,848
-19.0,-20.2,1045
-20.0,-20.0,870
-21.0,-20.2,914
-21.0,-20.4,824
-21.0,-20.4,792
-21.0,-20.8,960
-21.0,-21.0,852
-19.0,-20.6,1063
-20.0,-20.4,1119
-21.0,-20.4,820
-21.0,-20.4,764
-20.0,-20.2,921
-20.0,-20.4,931
-21.0,-20.6,880
-17.0,-19.8,1141
-18.0,-19.2,1164
-21.0,-19.4,783
-21.0,-19.6,841
-20.0,-19.4,1037
-21.0,-20.2,873
-20.0,-20.6,992
-21.0,-20.6,913
-20.0,-20.4,956
-20.0,-20.4,924
-21.0,-20.4,824
-21.0,-20.6,853
-20.0,-20.4,917
-21.0,-20.6,854
-20.0,-20.6,870
-21.0,-20.6,872
-21.0,-20.6,912
-21.0,-20.8,811
-20.0,-20.6,889
-21.0,-20.8,940
-19.0,-20.4,1099
-21.0,-20.4,839
-20.0,-20.2,1069
-21.0,-20.4,850
-21.0,-20.4,880
-21.0,-20.8,910
-21.0,-20.8,912
-20.0,-20.8,880
-21.0,-20.8,820
-21.0,-20.8,811
-20.0,-20.6,1218
-18.0,-20.0,1199
-21.0,-20.2,1053
-21.0,-20.2,900
-19.0,-19.8,1149
-18.0,-19.4,1221
-17.0,-19.2,1256
-20.0,-19.0,856
-21.0,-19.0,876
-21.0,-19.4,845
-21.0,-20.0,888
-21.0,-20.8,918
-19.0,-20.6,1084
-20.0,-20.4,993
-20.0,-20.2,1005
-20.0,-20.0,967
-19.0,-19.6,1042
-21.0,-20.0,852
-20.0,-20.0,1372
-20.0,-20.0,962
-21.0,-20.2,1156
-21.0,-20.6,872
-20.0,-20.4,1075
-20.0,-20.4,1015
-20.0,-20.4,984
-20.0,-20.2,993
-19.0,-19.8,1202
-19.0,-19.6,985
-19.0,-19.4,1322
-19.0,-19.2,1329
-19.0,-19.0,1246
-20.0,-19.2,981
-20.0,-19.4,998
-21.0,-19.8,838
-20.0,-20.0,1011
-21.0,-20.4,1325
-19.0,-20.2,1213
-19.0,-20.0,1254
-19.0,-19.6,1403
-21.0,-19.8,876
-19.0,-19.4,1259
-20.0,-19.6,1027
-20.0,-19.8,1142
-19.0,-19.8,1113
-20.0,-19.6,1371
-19.0,-19.6,1174
-19.0,-19.4,1077
-19.0,-19.2,1143
-19.0,-19.2,1255
-19.0,-19.0,1057
-20.0,-19.2,1086
-20.0,-19.4,1248
-20.0,-19.6,1156
-20.0,-19.8,1415
-19.0,-19.8,1291
-20.0,-19.8,1094
-17.0,-19.2,1398
-18.0,-18.8,1392
-20.0,-18.8,1492
-17.0,-18.4,1732
-18.0,-18.0,1355
-16.0,-17.8,1644
-15.0,-17.2,1629
-20.0,-17.2,1276
-18.0,-17.4,1437
-18.0,-17.4,1538
-19.0,-18.0,1309
-18.0,-18.6,1395
-17.0,-18.0,1560
-20.0,-18.4,1328
-17.0,-18.2,1358
-21.0,-18.6,1022
-19.0,-18.8,1102
-20.0,-19.4,1132
-20.0,-19.4,1105
-17.0,-19.4,1427
-16.0,-18.4,1651
-20.0,-18.6,1200
-19.0,-18.4,1240
-19.0,-18.2,1219
-16.0,-18.0,1572
-19.0,-18.6,1343
-19.0,-18.4,1263
-18.0,-18.2,1877
-17.0,-17.8,2081
-20.0,-18.6,1170
-18.0,-18.4,1382
-20.0,-18.6,1214
-14.0,-17.8,2142
-19.0,-18.2,1339
